geo_point_2d;geo_shape;objectid_1;objectid;numero;nom;larg;sens;chauss;tunnel;shape_leng;niveau_route;code_statu;gestionn;statut_2;statut;shape_len
48.732648531, 2.78628860181;"{""coordinates"": [[2.781825269396118, 48.73347959298016], [2.782525502387021, 48.73339527997644], [2.784967654779797, 48.73294553931791], [2.790735092448996, 48.73172313554781]], ""type"": ""LineString""}";4514;137987;283042;N4;2;D;2;0;684.21991159;0;503;Etat;Voie rapide DIRIF;nationale;684.219911594
48.8679813765, 2.67202840268;"{""coordinates"": [[2.670895748049403, 48.86932286600394], [2.671296067285424, 48.86854795742615], [2.671689329486461, 48.867987637655396], [2.672227595990619, 48.867581514289235], [2.673563723713823, 48.86711557426663]], ""type"": ""LineString""}";4515;138020;279664;;2;>;1;0;330.5486936;0;500;;;bretelle autoroute / voie rapide;330.548693591
48.7143743271, 2.85292896066;"{""coordinates"": [[2.852128372818216, 48.71477614002068], [2.853729548493662, 48.713972514087665]], ""type"": ""LineString""}";4519;138040;275801;N4;2;D;2;0;147.85489798;0;503;Etat;Voie rapide DIRIF;nationale;147.854897978
48.6854058196, 3.10445274588;"{""coordinates"": [[3.104186879777724, 48.685339778707046], [3.104718611972749, 48.68547186043327]], ""type"": ""LineString""}";4526;138128;261133;N4;2;D;1;0;41.80718881;0;503;Etat;Voie structurante SDRIF;nationale;41.8071888097
48.6844055118, 3.08549881284;"{""coordinates"": [[3.083883645390035, 48.68444849867562], [3.08546188625279, 48.68440649957218], [3.087113980027728, 48.68436251520545]], ""type"": ""LineString""}";4528;138132;288980;N4;2;D;2;0;237.99705157;0;503;Etat;Voie rapide DIRIF;nationale;237.997051568
48.9092702928, 2.07428026075;"{""coordinates"": [[2.074272259817127, 48.9091709353633], [2.074288261677166, 48.909369650310246]], ""type"": ""LineString""}";5009;149659;111785;N184;3;D;1;0;22.12827705;0;503;Etat;Voie structurante SDRIF;nationale;22.1282770504
48.9762389669, 1.71689165389;"{""coordinates"": [[1.716889534872376, 48.97634068435219], [1.7168937729105, 48.97613724935961]], ""type"": ""LineString""}";5524;163589;128825;A13;2;>;1;0;22.62557281;0;500;;;bretelle autoroute / voie rapide;22.6255728106
48.782419173, 2.17449084855;"{""coordinates"": [[2.175129546899389, 48.782387331186584], [2.174636130665047, 48.78242758296157], [2.174310325272245, 48.78244967226278], [2.174131736434853, 48.782441125618725], [2.174024664173636, 48.78241786196978], [2.173865845623429, 48.78234716700615]], ""type"": ""LineString""}";5527;163708;0;;0;;0;0;96.10441687;0;0;;;autre voie;96.1044168664
48.7793973101, 2.17686984589;"{""coordinates"": [[2.176565423683283, 48.77940874335917], [2.176844310160654, 48.77942699522688], [2.177168620852272, 48.77933357468123]], ""type"": ""LineString""}";5534;163757;0;;0;;0;0;46.58998197;0;500;;;bretelle autoroute / voie rapide;46.5899819655
48.6805755986, 1.84150475681;"{""coordinates"": [[1.84148299836298, 48.680376463446585], [1.841514631997252, 48.68052343620835], [1.841501925918178, 48.68077672842344]], ""type"": ""LineString""}";5538;163842;126660;N10;2;D;2;0;44.68129977;0;502;Etat;Voie rapide DIRIF;voie rapide;44.6812997651
48.727609754, 2.81558062574;"{""coordinates"": [[2.816924282071992, 48.72703125810178], [2.81544964543332, 48.72758295324183], [2.814733976990338, 48.728005952338215], [2.814485133277569, 48.72828198702845], [2.814420590275507, 48.72843510642438]], ""type"": ""LineString""}";4035;123559;0;;1;>;1;0;248.60782572;0;499;;;bretelle nationale;248.607825726
48.9438039016, 2.6687889318;"{""coordinates"": [[2.668336176744341, 48.9437891955422], [2.669241686855936, 48.94381860772987]], ""type"": ""LineString""}";4041;123749;284236;N3;2;D;2;0;66.4100567;0;503;Etat;Voie rapide DIRIF;nationale;66.4100567008
48.7487837425, 2.61372555241;"{""coordinates"": [[2.613735707919883, 48.749335511545866], [2.61370628154643, 48.74847775006307], [2.613776349600698, 48.74823969310472]], ""type"": ""LineString""}";4540;138329;0;;0;;0;0;122.35920125;0;500;;;bretelle autoroute / voie rapide;122.35920125
48.9161748374, 2.02250045175;"{""coordinates"": [[2.024139255815403, 48.91597913571233], [2.023743457786972, 48.91599547978652], [2.022714994893812, 48.916126982488436], [2.02188104790651, 48.91625157578282], [2.020871795204563, 48.916448034162734]], ""type"": ""LineString""}";5025;150084;0;A14;2;D;2;1;245.64334611;0;501;Etat;Autoroute concédée;autoroute;245.643346107
48.7920934347, 2.09483762489;"{""coordinates"": [[2.084709000045344, 48.793000985752585], [2.091525853609752, 48.792408850625904], [2.104963738130531, 48.79115796894948]], ""type"": ""LineString""}";5027;150120;121361;N12;2;D;2;0;1502.06440697;0;502;Etat;Voie rapide DIRIF;voie rapide;1502.06440697
48.9813035911, 2.08644621396;"{""coordinates"": [[2.086749380681183, 48.98079688825183], [2.086609655350868, 48.981072976570694], [2.086117569560376, 48.98179525348541]], ""type"": ""LineString""}";5037;150412;0;;0;;0;0;120.39123776;0;499;;;bretelle nationale;120.391237766
48.7799596876, 2.0108582926;"{""coordinates"": [[2.007601602581938, 48.779146753242], [2.009951506732596, 48.77977402276025], [2.011092669669165, 48.7800560682552], [2.012424156731918, 48.780365622535705], [2.013348523249254, 48.780512135099], [2.014150882566041, 48.780586353127994]], ""type"": ""LineString""}";5045;150632;122269;N10;3;D;2;0;508.85553745;0;503;Etat;Voie structurante SDRIF;nationale;508.855537445
48.7385172979, 2.44669260553;"{""coordinates"": [[2.446679838290729, 48.7388950046464], [2.446703371362034, 48.73819882745689], [2.446705361458943, 48.73813959077158]], ""type"": ""LineString""}";5569;165227;89286;N6;4;D;1;0;84.01048021;0;503;Etat;Voie structurante SDRIF;nationale;84.0104802062
48.7142198095, 1.87806857431;"{""coordinates"": [[1.876770526387922, 48.71327823399507], [1.879366622231348, 48.71516138503874]], ""type"": ""LineString""}";5574;165329;125936;N10;2;D;2;0;283.40667296;0;503;Etat;Voie rapide DIRIF;nationale;283.406672953
