area;pop;density;nb_pt;work_or_edu_fac;other_fac;cars_per_persons;big_road;insee
25.8810265;1280;49.457080073698;0;5;90;0.5714285714285714;0;78269.0
3.6322905;665;183.08007027521614;0;1;20;1.0;0;95456.0
10.4139925;429;41.19457547141502;0;3;17;0.5;0;77343.0
8.436162;342;40.53976203870907;0;1;14;0.0;0;91180.0
6.4190975;23801;3707.842107087484;15;119;764;0.36538461538461536;0;94054.0
11.9905925;371;30.940923061141476;0;1;13;0.0;0;77341.0
7.335092;1428;194.68058478339466;0;4;32;0.6;0;77323.0
5.843906;304;52.020001690650055;0;0;19;1.5;0;78196.0
3.693455;60361;16342.692682055149;8;326;2883;0.5277777777777778;248.778583302078734.08351562331833;92051.0
7.6669715;4103;535.1526349093641;6;20;116;0.5;0;91494.0
10.7862665;397;36.80606259821227;0;1;10;0.5555555555555556;0;91519.0
37.409368;1527;40.818652696832515;0;2;46;0.5;147.09892210572042;77264.0
8.4225675;1315;156.12816400699668;0;4;39;0.0;0;91047.0
2.99028;29100;9731.530157710984;12;72;590;0.5686274509803921;516.6233982603541202.89384711574485;92060.0
9.1168655;1673;183.50605260108313;0;1;58;0.5;0;91017.0
13.767277;32584;2366.7715845333832;13;136;1098;0.3435114503816794;270.2657926579732181.6177298488043181.36584204455718;78621.0
8.6616355;353;40.75442795993898;0;4;44;0.0;0;77282.0
29.225984;2786;95.3261317052661;6;4;82;0.46153846153846156;0;77210.0
21.246502;4551;214.1999657167095;0;9;175;0.7857142857142857;0;95352.0
7.529116;240;31.876252139029337;0;0;13;0.5;0;77416.0
2.2755065;58850;25862.3739374069;29;431;3373;0.18571428571428572;0;75105.0
0.772477;20900;27055.821726731025;22;341;2100;0.3076923076923077;0;75102.0
4.996576;677;135.49278545948266;0;2;17;1.0;0;78261.0
3.585756;243;67.7681359244745;0;1;8;0.0;0;77348.0
11.372846;1205;105.95412968750303;0;0;41;0.7142857142857143;0;78171.0
7.4161055;30767;4148.673451314845;0;118;1246;0.39285714285714285;72.11669764161502117.32173451837457407.9724248744169636.04437084109163158.37446585865047109.1089092993767973.9750941258515163.2047932229001581.45916214801561;95500.0
18.9167295;612;32.35231544649407;0;2;24;0.5;0;91629.0
13.826483;1264;91.41876498889847;0;1;44;1.0;0;78192.0
4.7688465;306;64.16646037988431;0;3;26;0.0;209.45600212011684;95154.0
11.073218;1452;131.12719355836757;0;8;46;0.6363636363636364;0;78520.0
9.007161;31574;3505.4330659793914;0;51;911;0.4444444444444444;46.47482366966633;91657.0
10.886778;2822;259.21351569766557;0;7;113;0.6875;0;77176.0
